REQUEST_TIME,DEVICE_IP,ID,USER_ID,ID_TYPE,OPERATING_SYSTEM,multi_device_classification
14:11.9,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
15:47.6,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
19:07.6,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
24:05.4,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
33:05.9,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
51:57.7,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
23:04.0,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
31:38.6,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
32:17.4,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
51:11.8,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
55:16.8,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
02:59.9,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
02:59.9,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
15:26.7,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
21:01.6,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
56:45.8,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
00:20.7,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
12:59.5,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
30:30.9,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
52:14.1,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
26:57.0,2001:6034:d5e7:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
20:34.7,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
16:17.0,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
13:24.8,186.42.17.13,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
32:58.5,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
35:12.8,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
50:54.6,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
41:47.1,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
52:48.9,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
11:56.1,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
29:58.8,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
25:05.4,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
07:07.5,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
25:33.9,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
02:32.0,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
48:12.3,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
48:41.0,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
48:57.7,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
51:32.5,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
08:20.6,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
05:13.1,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
12:26.0,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
13:28.1,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
13:52.6,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
12:10.9,30.147.104.223,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
20:30.1,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
35:38.7,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
42:34.0,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
43:29.9,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
43:54.5,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
44:46.0,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
45:29.3,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
45:49.1,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
46:34.0,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
21:44.8,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
40:44.9,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
13:23.6,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
57:57.0,2001:504b:0892:::,996HOHKMRS1M2G8JFCHIYM,6,WEB_ID,ios,Multi-Device (Decisive)
51:13.1,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android,Multi-Device (Moderate Confidence)
19:59.4,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android,Multi-Device (Moderate Confidence)
20:01.9,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android,Multi-Device (Moderate Confidence)
28:09.5,2001:3ae0:2d1b:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
16:47.2,2001:8a1f:3c77:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android,Multi-Device (Moderate Confidence)
17:12.7,2001:8a1f:3c77:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android,Multi-Device (Moderate Confidence)
17:26.2,2001:8a1f:3c77:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android,Multi-Device (Moderate Confidence)
17:40.3,2001:8a1f:3c77:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android,Multi-Device (Moderate Confidence)
13:40.9,12.58.47.52,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android,Multi-Device (Moderate Confidence)
13:47.8,2001:8a1f:3c77:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android,Multi-Device (Moderate Confidence)
14:54.0,2001:8a1f:3c77:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android,Multi-Device (Moderate Confidence)
15:36.6,2001:8a1f:3c77:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android,Multi-Device (Moderate Confidence)
16:22.6,2001:8a1f:3c77:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android,Multi-Device (Moderate Confidence)
17:03.0,2001:8a1f:3c77:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android,Multi-Device (Moderate Confidence)
18:30.9,2001:8a1f:3c77:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android,Multi-Device (Moderate Confidence)
19:28.8,2001:8a1f:3c77:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android,Multi-Device (Moderate Confidence)
20:12.3,2001:8a1f:3c77:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android,Multi-Device (Moderate Confidence)
20:51.1,2001:8a1f:3c77:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android,Multi-Device (Moderate Confidence)
21:36.0,2001:8a1f:3c77:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android,Multi-Device (Moderate Confidence)
22:17.2,2001:8a1f:3c77:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android,Multi-Device (Moderate Confidence)
23:28.6,2001:8a1f:3c77:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android,Multi-Device (Moderate Confidence)
23:33.8,2001:8a1f:3c77:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android,Multi-Device (Moderate Confidence)
23:41.2,2001:8a1f:3c77:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android,Multi-Device (Moderate Confidence)
24:22.9,2001:8a1f:3c77:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android,Multi-Device (Moderate Confidence)
24:30.0,2001:8a1f:3c77:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android,Multi-Device (Moderate Confidence)
09:44.9,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android,Multi-Device (Moderate Confidence)
27:48.5,2001:c7a2:c27a:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
30:31.6,2001:c7a2:c27a:::,YPW0T5TYMVM8WIKFHAAOX0,7,WEB_ID,android,Multi-Device (Moderate Confidence)
06:09.9,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android,Multi-Device (Moderate Confidence)
